Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
onshore_wind,1,0.0,0.0,11.380068136238378,11.380068136238378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_pv_sat,1,0.0,0.0,58.677161607510975,58.677161607510975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_btm,1,32.11,0.0,0.0,32.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_btm_curt,1,0.0,0.0,8.12,8.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro,1,0.0,0.0,5.99999999138744,5.99999999138744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery4,1,0.0,0.0,33.80467626687264,33.80467626687264,0.0,0.0,33.8046781855064,33.8046781855064,0.0,0.0,0.0,0.0
battery8,1,0.0,0.0,2.984663788624567e-5,2.984663788624567e-5,0.0,0.0,0.00012237372890869878,0.00012237372890869878,0.0,0.0,0.0,0.0
pumped_hydro,1,0.0,0.0,178.824215038735,178.824215038735,0.0,0.0,87.23132441625755,87.23132441625755,0.0,0.0,0.0,0.0
geothermal,1,0.0,0.0,121.04276676945338,121.04276676945338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,n/a,32.11,0.0,417.84891765683574,449.95891765683564,0.0,0.0,121.03612497549285,121.03612497549285,0.0,0.0,0.0,0.0
