region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
SD,onshore_wind,1,1,1,5.18041520368353e6,0.0,1.5017263261336053e6,0.0,7577.784700632327,0.0,0.0,0.0,0.0,89295.85121670211,0.0,6.600423463301111e6,0.0,0.0,0.0,6.689719314517813e6,6.689719314517767e6,4.563480615615845e-8
SD,solar_pv_sat,1,1,2,1.6138758177298956e7,0.0,9.431874935278261e6,0.0,1704.415903041084,0.0,0.0,0.0,0.0,19629.496629399036,0.0,2.5552708031850792e7,0.0,0.0,0.0,2.557233752848019e7,2.5572337528480254e7,-6.332993507385254e-8
SD,solar_btm,1,1,3,0.0,0.0,0.0,0.0,777.8099918735256,0.0,0.0,0.0,0.0,1317.7163865283176,0.0,1.3834534919368073e6,0.0,0.0,0.0,1.3847712083233355e6,777.8099918735256,1.383993398331462e6
SD,solar_btm_curt,1,1,4,0.0,0.0,0.0,0.0,196.69315272541337,0.0,0.0,0.0,0.0,333.22507189691714,0.0,349848.71860874724,0.0,0.0,0.0,350181.94368064415,196.69315272541337,349985.25052791875
SD,hydro,1,1,5,583200.0,0.0,259230.0,0.0,3099.6502768906817,0.0,0.0,0.0,0.0,81627.06140943151,0.0,4.0989922822390283e6,0.0,0.0,0.0,4.1806193436484598e6,845529.6502768907,3.335089693371569e6
SD,battery4,1,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,battery8,1,1,7,509851.2291936997,1.1969147909953788e7,218348.36105889414,2.0062177501501169e6,7820.564239130255,0.0,9239.797068916005,0.0,28137.6428966729,225168.07322555536,0.0,1.4523595181335678e7,0.0,0.0,0.0,1.4748763254561234e7,1.4748763254561218e7,1.6763806343078613e-8
SD,pumped_hydro_long,1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,pumped_hydro_short,1,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,geothermal,1,1,10,1.86468e7,0.0,8.0e6,0.0,4.360685620888659e6,0.0,0.0,0.0,0.0,391042.33921408263,0.0,1.6560040717012677e8,0.0,0.0,0.0,1.6599144950934085e8,3.1007485620888658e7,1.349839638884522e8
